--[[
	--propability概率，概率的数字越大的话掉的物品的概率越高
	--group是分组的id，类似怪物的爆率的配置, group为0，必出；相同group的按propability出一个
--]]
drops=
{
{ group = 0, type = 0, id = 118, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 6},
{ group = 0, type = 0, id = 119, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex= 0,strong = 6},
{ group = 0, type = 0, id = 120, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex= 1,strong = 6},
{ group = 0, type = 0, id = 121, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 6},
{ group = 0, type = 0, id = 122, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 6},
{ group = 0, type = 0, id = 123, count = 2, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 6},
{ group = 0, type = 0, id = 124, count = 2, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 6},
{ group = 0, type = 0, id = 125, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 6},
{ group = 0, type = 0, id = 126, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 6},

{ group = 0, type = 0, id = 127, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 6},
{ group = 0, type = 0, id = 128, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex= 0,strong = 6},
{ group = 0, type = 0, id = 129, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex= 1,strong = 6},
{ group = 0, type = 0, id = 130, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 6},
{ group = 0, type = 0, id = 131, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 6},
{ group = 0, type = 0, id = 132, count = 2, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 6},
{ group = 0, type = 0, id = 133, count = 2, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 6},
{ group = 0, type = 0, id = 134, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 6},
{ group = 0, type = 0, id = 135, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 6},

{ group = 0, type = 0, id = 136, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 6},
{ group = 0, type = 0, id = 137, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex= 0,strong = 6},
{ group = 0, type = 0, id = 138, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex= 1,strong = 6},
{ group = 0, type = 0, id = 139, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 6},
{ group = 0, type = 0, id = 140, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 6},
{ group = 0, type = 0, id = 141, count = 2, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 6},
{ group = 0, type = 0, id = 142, count = 2, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 6},
{ group = 0, type = 0, id = 143, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 6},
{ group = 0, type = 0, id = 144, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 6},
}
