--[[
	--propability概率，概率的数字越大的话掉的物品的概率越高
	--group是分组的id，类似怪物的爆率的配置, group为0，必出；相同group的按propability出一个
--]]
drops=
{
{ group = 1, type = 0, id = 1072, count = 1, bind = 0, propability=2, broadcast=0,job=1},
{ group = 1, type = 0, id = 1076, count = 1, bind = 0, propability=2, broadcast=0,job=1},
{ group = 1, type = 0, id = 1077, count = 1, bind = 0, propability=2, broadcast=0,job=1},
{ group = 1, type = 0, id = 1125, count = 1, bind = 0, propability=2, broadcast=0,job=1},

{ group = 1, type = 0, id = 1078, count = 1, bind = 0, propability=2, broadcast=0,job=2},
{ group = 1, type = 0, id = 1079, count = 1, bind = 0, propability=2, broadcast=0,job=2},
{ group = 1, type = 0, id = 1080, count = 1, bind = 0, propability=2, broadcast=0,job=2},
{ group = 1, type = 0, id = 1126, count = 1, bind = 0, propability=2, broadcast=0,job=2},

{ group = 1, type = 0, id = 1085, count = 1, bind = 0, propability=2, broadcast=0,job=3},
{ group = 1, type = 0, id = 1086, count = 1, bind = 0, propability=2, broadcast=0,job=3},
{ group = 1, type = 0, id = 1091, count = 1, bind = 0, propability=2, broadcast=0,job=3},
{ group = 1, type = 0, id = 1127, count = 1, bind = 0, propability=2, broadcast=0,job=3},

}
