{ group = 1, type = 0, id = 94, propability = 5556, count = 1 },
{ group = 1, type = 0, id = 95, propability = 11112, count = 1 },
{ group = 1, type = 0, id = 96, propability = 16668, count = 1 },
{ group = 1, type = 0, id = 97, propability = 22224, count = 1 },
{ group = 1, type = 0, id = 98, propability = 27780, count = 1 },
{ group = 1, type = 0, id = 99, propability = 33336, count = 1 },
{ group = 1, type = 0, id = 103, propability = 38892, count = 1 },
{ group = 1, type = 0, id = 104, propability = 44448, count = 1 },
{ group = 1, type = 0, id = 105, propability = 50004, count = 1 },
{ group = 1, type = 0, id = 106, propability = 55560, count = 1 },
{ group = 1, type = 0, id = 107, propability = 61116, count = 1 },
{ group = 1, type = 0, id = 108, propability = 66672, count = 1 },
{ group = 1, type = 0, id = 112, propability = 72228, count = 1 },
{ group = 1, type = 0, id = 113, propability = 77784, count = 1 },
{ group = 1, type = 0, id = 114, propability = 83340, count = 1 },
{ group = 1, type = 0, id = 115, propability = 88896, count = 1 },
{ group = 1, type = 0, id = 116, propability = 94452, count = 1 },
{ group = 1, type = 0, id = 117, propability = 100000, count = 1 },
{ group = 2, type = 0, id = 121, propability = 5556, count = 1 },
{ group = 2, type = 0, id = 122, propability = 11112, count = 1 },
{ group = 2, type = 0, id = 123, propability = 16668, count = 1 },
{ group = 2, type = 0, id = 124, propability = 22224, count = 1 },
{ group = 2, type = 0, id = 125, propability = 27780, count = 1 },
{ group = 2, type = 0, id = 126, propability = 33336, count = 1 },
{ group = 2, type = 0, id = 130, propability = 38892, count = 1 },
{ group = 2, type = 0, id = 131, propability = 44448, count = 1 },
{ group = 2, type = 0, id = 132, propability = 50004, count = 1 },
{ group = 2, type = 0, id = 133, propability = 55560, count = 1 },
{ group = 2, type = 0, id = 134, propability = 61116, count = 1 },
{ group = 2, type = 0, id = 135, propability = 66672, count = 1 },
{ group = 2, type = 0, id = 139, propability = 72228, count = 1 },
{ group = 2, type = 0, id = 140, propability = 77784, count = 1 },
{ group = 2, type = 0, id = 141, propability = 83340, count = 1 },
{ group = 2, type = 0, id = 142, propability = 88896, count = 1 },
{ group = 2, type = 0, id = 143, propability = 94452, count = 1 },
{ group = 2, type = 0, id = 144, propability = 100000, count = 1 },
{ group = 3, type = 0, id = 148, propability = 5556, count = 1 },
{ group = 3, type = 0, id = 149, propability = 11112, count = 1 },
{ group = 3, type = 0, id = 150, propability = 16668, count = 1 },
{ group = 3, type = 0, id = 151, propability = 22224, count = 1 },
{ group = 3, type = 0, id = 152, propability = 27780, count = 1 },
{ group = 3, type = 0, id = 153, propability = 33336, count = 1 },
{ group = 3, type = 0, id = 157, propability = 38892, count = 1 },
{ group = 3, type = 0, id = 158, propability = 44448, count = 1 },
{ group = 3, type = 0, id = 159, propability = 50004, count = 1 },
{ group = 3, type = 0, id = 160, propability = 55560, count = 1 },
{ group = 3, type = 0, id = 161, propability = 61116, count = 1 },
{ group = 3, type = 0, id = 162, propability = 66672, count = 1 },
{ group = 3, type = 0, id = 166, propability = 72228, count = 1 },
{ group = 3, type = 0, id = 167, propability = 77784, count = 1 },
{ group = 3, type = 0, id = 168, propability = 83340, count = 1 },
{ group = 3, type = 0, id = 169, propability = 88896, count = 1 },
{ group = 3, type = 0, id = 170, propability = 94452, count = 1 },
{ group = 3, type = 0, id = 171, propability = 100000, count = 1 },
{ group = 4, type = 0, id = 175, propability = 5556, count = 1 },
{ group = 4, type = 0, id = 176, propability = 11112, count = 1 },
{ group = 4, type = 0, id = 177, propability = 16668, count = 1 },
{ group = 4, type = 0, id = 178, propability = 22224, count = 1 },
{ group = 4, type = 0, id = 179, propability = 27780, count = 1 },
{ group = 4, type = 0, id = 180, propability = 33336, count = 1 },
{ group = 4, type = 0, id = 184, propability = 38892, count = 1 },
{ group = 4, type = 0, id = 185, propability = 44448, count = 1 },
{ group = 4, type = 0, id = 186, propability = 50004, count = 1 },
{ group = 4, type = 0, id = 187, propability = 55560, count = 1 },
{ group = 4, type = 0, id = 188, propability = 61116, count = 1 },
{ group = 4, type = 0, id = 189, propability = 66672, count = 1 },
{ group = 4, type = 0, id = 193, propability = 72228, count = 1 },
{ group = 4, type = 0, id = 194, propability = 77784, count = 1 },
{ group = 4, type = 0, id = 195, propability = 83340, count = 1 },
{ group = 4, type = 0, id = 196, propability = 88896, count = 1 },
{ group = 4, type = 0, id = 197, propability = 94452, count = 1 },
{ group = 4, type = 0, id = 198, propability = 100000, count = 1 },
{ group = 5, type = 0, id = 202, propability = 3333, count = 1 },
{ group = 5, type = 0, id = 203, propability = 6666, count = 1 },
{ group = 5, type = 0, id = 204, propability = 9999, count = 1 },
{ group = 5, type = 0, id = 205, propability = 13332, count = 1 },
{ group = 5, type = 0, id = 206, propability = 16665, count = 1 },
{ group = 5, type = 0, id = 207, propability = 19998, count = 1 },
{ group = 5, type = 0, id = 211, propability = 23331, count = 1 },
{ group = 5, type = 0, id = 212, propability = 26664, count = 1 },
{ group = 5, type = 0, id = 213, propability = 29997, count = 1 },
{ group = 5, type = 0, id = 214, propability = 33330, count = 1 },
{ group = 5, type = 0, id = 215, propability = 36663, count = 1 },
{ group = 5, type = 0, id = 216, propability = 39996, count = 1 },
{ group = 5, type = 0, id = 220, propability = 43329, count = 1 },
{ group = 5, type = 0, id = 221, propability = 46662, count = 1 },
{ group = 5, type = 0, id = 222, propability = 49995, count = 1 },
{ group = 5, type = 0, id = 223, propability = 53328, count = 1 },
{ group = 5, type = 0, id = 224, propability = 56661, count = 1 },
{ group = 5, type = 0, id = 225, propability = 59994, count = 1 },
{ group = 6, type = 0, id = 229, propability = 2222, count = 1 },
{ group = 6, type = 0, id = 230, propability = 4444, count = 1 },
{ group = 6, type = 0, id = 231, propability = 6666, count = 1 },
{ group = 6, type = 0, id = 232, propability = 8888, count = 1 },
{ group = 6, type = 0, id = 233, propability = 11110, count = 1 },
{ group = 6, type = 0, id = 234, propability = 13332, count = 1 },
{ group = 6, type = 0, id = 238, propability = 15554, count = 1 },
{ group = 6, type = 0, id = 239, propability = 17776, count = 1 },
{ group = 6, type = 0, id = 240, propability = 19998, count = 1 },
{ group = 6, type = 0, id = 241, propability = 22220, count = 1 },
{ group = 6, type = 0, id = 242, propability = 24442, count = 1 },
{ group = 6, type = 0, id = 243, propability = 26664, count = 1 },
{ group = 6, type = 0, id = 247, propability = 28886, count = 1 },
{ group = 6, type = 0, id = 248, propability = 31108, count = 1 },
{ group = 6, type = 0, id = 249, propability = 33330, count = 1 },
{ group = 6, type = 0, id = 250, propability = 35552, count = 1 },
{ group = 6, type = 0, id = 251, propability = 37774, count = 1 },
{ group = 6, type = 0, id = 252, propability = 39996, count = 1 },
