{ group = 1, type = 0, id = 94, propability = 5556, count = 1 },
{ group = 1, type = 0, id = 95, propability = 11112, count = 1 },
{ group = 1, type = 0, id = 96, propability = 16668, count = 1 },
{ group = 1, type = 0, id = 97, propability = 22224, count = 1 },
{ group = 1, type = 0, id = 98, propability = 27780, count = 1 },
{ group = 1, type = 0, id = 99, propability = 33336, count = 1 },
{ group = 1, type = 0, id = 103, propability = 38892, count = 1 },
{ group = 1, type = 0, id = 104, propability = 44448, count = 1 },
{ group = 1, type = 0, id = 105, propability = 50004, count = 1 },
{ group = 1, type = 0, id = 106, propability = 55560, count = 1 },
{ group = 1, type = 0, id = 107, propability = 61116, count = 1 },
{ group = 1, type = 0, id = 108, propability = 66672, count = 1 },
{ group = 1, type = 0, id = 112, propability = 72228, count = 1 },
{ group = 1, type = 0, id = 113, propability = 77784, count = 1 },
{ group = 1, type = 0, id = 114, propability = 83340, count = 1 },
{ group = 1, type = 0, id = 115, propability = 88896, count = 1 },
{ group = 1, type = 0, id = 116, propability = 94452, count = 1 },
{ group = 1, type = 0, id = 117, propability = 100000, count = 1 },
{ group = 2, type = 0, id = 94, propability = 5556, count = 1 },
{ group = 2, type = 0, id = 95, propability = 11112, count = 1 },
{ group = 2, type = 0, id = 96, propability = 16668, count = 1 },
{ group = 2, type = 0, id = 97, propability = 22224, count = 1 },
{ group = 2, type = 0, id = 98, propability = 27780, count = 1 },
{ group = 2, type = 0, id = 99, propability = 33336, count = 1 },
{ group = 2, type = 0, id = 103, propability = 38892, count = 1 },
{ group = 2, type = 0, id = 104, propability = 44448, count = 1 },
{ group = 2, type = 0, id = 105, propability = 50004, count = 1 },
{ group = 2, type = 0, id = 106, propability = 55560, count = 1 },
{ group = 2, type = 0, id = 107, propability = 61116, count = 1 },
{ group = 2, type = 0, id = 108, propability = 66672, count = 1 },
{ group = 2, type = 0, id = 112, propability = 72228, count = 1 },
{ group = 2, type = 0, id = 113, propability = 77784, count = 1 },
{ group = 2, type = 0, id = 114, propability = 83340, count = 1 },
{ group = 2, type = 0, id = 115, propability = 88896, count = 1 },
{ group = 2, type = 0, id = 116, propability = 94452, count = 1 },
{ group = 2, type = 0, id = 117, propability = 100000, count = 1 },
{ group = 3, type = 0, id = 121, propability = 3611, count = 1 },
{ group = 3, type = 0, id = 122, propability = 7222, count = 1 },
{ group = 3, type = 0, id = 123, propability = 10833, count = 1 },
{ group = 3, type = 0, id = 124, propability = 14444, count = 1 },
{ group = 3, type = 0, id = 125, propability = 18055, count = 1 },
{ group = 3, type = 0, id = 126, propability = 21666, count = 1 },
{ group = 3, type = 0, id = 130, propability = 25277, count = 1 },
{ group = 3, type = 0, id = 131, propability = 28888, count = 1 },
{ group = 3, type = 0, id = 132, propability = 32499, count = 1 },
{ group = 3, type = 0, id = 133, propability = 36110, count = 1 },
{ group = 3, type = 0, id = 134, propability = 39721, count = 1 },
{ group = 3, type = 0, id = 135, propability = 43332, count = 1 },
{ group = 3, type = 0, id = 139, propability = 46943, count = 1 },
{ group = 3, type = 0, id = 140, propability = 50554, count = 1 },
{ group = 3, type = 0, id = 141, propability = 54165, count = 1 },
{ group = 3, type = 0, id = 142, propability = 57776, count = 1 },
{ group = 3, type = 0, id = 143, propability = 61387, count = 1 },
{ group = 3, type = 0, id = 144, propability = 64998, count = 1 },
{ group = 3, type = 0, id = 148, propability = 66109, count = 1 },
{ group = 3, type = 0, id = 149, propability = 67220, count = 1 },
{ group = 3, type = 0, id = 150, propability = 68331, count = 1 },
{ group = 3, type = 0, id = 151, propability = 69442, count = 1 },
{ group = 3, type = 0, id = 152, propability = 70553, count = 1 },
{ group = 3, type = 0, id = 153, propability = 71664, count = 1 },
{ group = 3, type = 0, id = 157, propability = 72775, count = 1 },
{ group = 3, type = 0, id = 158, propability = 73886, count = 1 },
{ group = 3, type = 0, id = 159, propability = 74997, count = 1 },
{ group = 3, type = 0, id = 160, propability = 76108, count = 1 },
{ group = 3, type = 0, id = 161, propability = 77219, count = 1 },
{ group = 3, type = 0, id = 162, propability = 78330, count = 1 },
{ group = 3, type = 0, id = 166, propability = 79441, count = 1 },
{ group = 3, type = 0, id = 167, propability = 80552, count = 1 },
{ group = 3, type = 0, id = 168, propability = 81663, count = 1 },
{ group = 3, type = 0, id = 169, propability = 82774, count = 1 },
{ group = 3, type = 0, id = 170, propability = 83885, count = 1 },
{ group = 3, type = 0, id = 171, propability = 84996, count = 1 },
{ group = 3, type = 0, id = 175, propability = 85829, count = 1 },
{ group = 3, type = 0, id = 176, propability = 86662, count = 1 },
{ group = 3, type = 0, id = 177, propability = 87495, count = 1 },
{ group = 3, type = 0, id = 178, propability = 88328, count = 1 },
{ group = 3, type = 0, id = 179, propability = 89161, count = 1 },
{ group = 3, type = 0, id = 180, propability = 89994, count = 1 },
{ group = 3, type = 0, id = 184, propability = 90827, count = 1 },
{ group = 3, type = 0, id = 185, propability = 91660, count = 1 },
{ group = 3, type = 0, id = 186, propability = 92493, count = 1 },
{ group = 3, type = 0, id = 187, propability = 93326, count = 1 },
{ group = 3, type = 0, id = 188, propability = 94159, count = 1 },
{ group = 3, type = 0, id = 189, propability = 94992, count = 1 },
{ group = 3, type = 0, id = 193, propability = 95825, count = 1 },
{ group = 3, type = 0, id = 194, propability = 96658, count = 1 },
{ group = 3, type = 0, id = 195, propability = 97491, count = 1 },
{ group = 3, type = 0, id = 196, propability = 98324, count = 1 },
{ group = 3, type = 0, id = 197, propability = 99157, count = 1 },
{ group = 3, type = 0, id = 198, propability = 100000, count = 1 },
