{ group = 0, type = 0, id = 91, propability = 10, count = 1 },
{ group = 0, type = 0, id = 92, propability = 1, count = 1 },
{ group = 1, type = 0, id = 93, propability = 25000, count = 1 },
{ group = 1, type = 0, id = 94, propability = 100000, count = 1 },
{ group = 2, type = 0, id = 95, propability = 60000, count = 1 },
{ group = 2, type = 0, id = 96, propability = 65000, count = 1 },
{ group = 3, type = 0, id = 97, propability = 30000, count = 1 },
{ group = 3, type = 0, id = 98, propability = 100000, count = 1 },
{ group = 4, type = 0, id = 99, propability = 1000, count = 1 },
{ group = 4, type = 0, id = 100, propability = 100000, count = 1 },
--
